"EXERCISE_ID","EXERCISE_NAME","MET","EXERCISE_PICTURE"
1286,덤벨 플라이,5.50,NULL
1287,버피테스트,7.00,NULL
1288,"주짓수_훈련, 연습",5.30,NULL
1289,패들보드,6.00,NULL
1290,국궁,4.30,NULL
1291,일립티컬,6.00,NULL
1292,딥스,5.50,NULL
1293,악력기 운동,1.30,NULL
1294,버드독,3.80,NULL
1295,컨벤셔널 데드리프트,8.00,NULL
1296,탁구시합,5.00,NULL
1297,EMS트레이닝,7.00,NULL
1298,인라인스케이트,5.00,NULL
1299,사이드 플랭크,3.80,NULL
1300,고블릿 스쿼트,5.50,NULL
1301,로드바이크,8.50,NULL
1302,플로터킥,5.00,NULL
1303,벽 스쿼트,5.00,NULL
1304,TRX 운동,7.00,NULL
1305,월볼샷,6.00,NULL
1306,시티드 니업,5.00,NULL
1307,데드 리프트,5.50,NULL
1308,벤치딥스,3.00,NULL
1309,고양이자세,3.50,NULL
1310,노르딕워킹,6.00,NULL
1311,난타,3.80,NULL
1312,프론트 레이즈,5.00,NULL
1313,사이드 레터럴 레이즈,5.00,NULL
1314,제자리 걷기,2.00,NULL
1315,필라테스,3.00,NULL
1316,양팔벌려 제자리 뛰기(PT체조),3.00,NULL
1317,정구 단식경기(일반적인),7.00,NULL
1318,정구 복식경기,5.00,NULL
1319,(SUP)서핑,6.00,NULL
1320,딥다라인 댄스,3.00,NULL
1321,로우,5.00,NULL
1322,풀업(턱걸이),5.00,NULL
1323,레그 킥 백,5.00,NULL
1324,프리다이빙,7.00,NULL
1325,힙 쓰러스트,6.00,NULL
1326,스플릿 스쿼트,5.00,NULL
1327,훌라후프,4.00,NULL
1328,번지피지오,5.00,NULL
1329,스텝퍼,5.00,NULL
