FOOD_CODE,FOOD_NAME,ENERGY
D010063,블랙앵거스 스테이크(오리지널 M),307
D010064,블랙앵거스 스테이크(나폴리L),383
D010065,블랙앵거스 스테이크(나폴리M),248
D010066,블랙앵거스 스테이크(씬 L),296
D010067,블랙앵거스 스테이크(씬 M),459
D010068,블랙앵거스 스테이크(슈퍼시드 함유 도우L),266
D010069,블랙앵거스 스테이크(슈퍼시드 함유 도우M),301
D010070,블랙앵거스 스테이크 더블치즈엣지(오리지널 L),369
D010071,블랙앵거스 스테이크 더블치즈엣지(오리지널 M),388
D010072,블랙타이거 슈림프(오리지널 L),488
D010073,블랙타이거 슈림프(오리지널 M),288
D010074,블랙타이거 슈림프(나폴리M),453
D010075,블랙타이거 슈림프(나폴리L),358
D010076,블랙타이거 슈림프(씬 M),431
D010077,블랙타이거 슈림프(씬 L),308
D010078,블랙타이거 슈림프(슈퍼시드 함유 도우L),403
D010079,블랙타이거 슈림프 더블치즈엣지(오리지널 L),290
D010080,블랙타이거슈림프(슈퍼시드 함유 도우M),363
D010081,블랙타이거슈림프 더블치즈엣지(오리지널 M),468
D010082,슈퍼디럭스(오리지널 L),625
D010083,슈퍼디럭스(오리지널 M),307
D010084,슈퍼디럭스(나폴리L),386
D010085,슈퍼디럭스(나폴리M),251
D010086,슈퍼디럭스(씬 L),282
D010087,슈퍼디럭스(씬 M),450
D010088,슈퍼디럭스(슈퍼시드 함유 도우L),393
D010089,슈퍼디럭스(슈퍼시드 함유 도우M),332
D010090,슈퍼디럭스 더블치즈엣지(오리지널 L),373
D010091,슈퍼디럭스 더블치즈엣지(오리지널 M),359
D010092,슈퍼슈프림(오리지널 L),452
D010093,슈퍼슈프림(오리지널 M),321
D010094,슈퍼슈프림(나폴리L),366
D010095,슈퍼슈프림(나폴리M),246
D010096,슈퍼슈프림(씬 L),291
D010097,슈퍼슈프림(씬 M),236
D010098,슈퍼슈프림(슈퍼시드 함유 도우L),251
D010099,슈퍼슈프림(슈퍼시드 함유 도우M),335
D010100,슈퍼슈프림 더블치즈엣지(오리지널 L),385
D010101,슈퍼슈프림 더블치즈엣지(오리지널 M),374
D010102,와규 앤 비스테카(오리지널 L),433
D010103,와규 앤 비스테카(오리지널 M),305
D010104,와규 앤 비스테카(나폴리L),377
D010105,와규 앤 비스테카(나폴리M),247
D010106,와규 앤 비스테카(씬 L),306
D010107,와규 앤 비스테카(씬 M),477
D010108,와규 앤 비스테카(슈퍼시드 함유 도우L),262
D010109,와규 앤 비스테카(슈퍼시드 함유 도우M),306
D010110,와규 앤 비스테카 더블치즈엣지(오리지널 L),354
D010111,와규 앤 비스테카 더블치즈엣지(오리지널 M),388
D010112,우리 고구마(오리지널 L),484
D010113,우리 고구마(오리지널 M),321
